Gene	Glucose_fg_cell	Chemostat_mu_0_5
yebY	2.86E-02	8.75E-03
hslV	1.48E-02	1.00E-02
gnsB	1.87E-02	1.75E-02
yidB	1.17E-02	1.20E-02
csrA	2.16E-02	1.15E-02
yodD	1.18E-03	1.07E-03
yebV	1.98E-02	2.11E-02
cpdA	8.73E-03	8.78E-03
ynfB	9.82E-03	8.04E-03
dcd	1.81E-02	1.58E-02
yfgD	4.98E-02	2.76E-02
yheO	2.32E-02	2.16E-02
nuoA	1.19E-02	3.27E-02
dcuA	1.51E-02	3.66E-02
fepB	4.35E-03	3.85E-03
ygaP	1.49E-02	1.33E-02
rlmE	8.37E-03	6.23E-03
cspA	2.91E-02	7.92E-03
kdsC	6.73E-03	7.02E-03
psiF	7.95E-04	8.18E-04
ycaR	2.22E-02	1.49E-02
tesA	6.58E-03	6.90E-03
yidQ	9.57E-03	4.42E-03
mlaB	1.10E-02	1.24E-02
kch	4.17E-03	2.89E-03
yfaY	9.42E-03	7.74E-03
otsB	6.68E-03	3.59E-03
yciN	1.06E-02	7.87E-03
yggT	7.45E-03	1.11E-02
sseB	2.07E-02	1.18E-02
aroE	5.91E-03	5.00E-03
yeiG	6.70E-03	1.22E-02
lptF	4.89E-03	8.34E-03
fucU	6.81E-03	1.08E-02
trmJ	1.16E-02	6.11E-03
blc	1.63E-03	2.26E-03
chbB	9.56E-03	1.45E-02
lpxD	5.09E-03	5.11E-03
frmR	6.25E-03	4.28E-03
tatC	1.02E-02	1.45E-02
cycA	1.54E-02	6.28E-02
gsk	3.67E-03	2.35E-03
gltL	3.64E-03	4.13E-03
cydB	3.00E-03	9.74E-03
slmA	5.74E-03	3.55E-03
coaE	2.68E-03	2.05E-03
trpR	3.42E-03	3.32E-03
panD	1.52E-02	7.03E-03
ldcA	5.97E-03	3.54E-03
ybhL	2.81E-03	3.31E-03
cmoB	7.66E-03	5.26E-03
eutL	3.70E-03	5.72E-03
yciT	3.76E-03	3.35E-03
lptG	5.83E-03	7.13E-03
ybiV	6.83E-03	3.73E-03
rsmE	6.10E-03	3.69E-03
trmA	6.00E-03	3.90E-03
yegH	2.13E-03	1.59E-03
yfdI	9.71E-03	1.37E-02
yhdE	7.29E-03	2.61E-03
ftsP	3.14E-03	1.70E-03
ldcC	7.69E-04	1.57E-03
mraZ	4.26E-03	3.93E-03
rfbC	8.89E-03	6.50E-03
lplA	3.92E-03	4.12E-03
rnk	1.08E-02	1.25E-02
adeP	7.10E-03	9.10E-03
livM	5.41E-03	1.05E-02
nlpE	3.18E-04	2.18E-03
prlF	1.44E-03	1.60E-03
cysG	2.46E-03	3.73E-03
lsrK	5.37E-04	1.17E-03
aroP	1.65E-02	1.90E-02
hdeD	7.13E-05	6.04E-05
yffB	2.84E-04	4.32E-04
fecA	2.22E-04	1.75E-04
gsiA	8.07E-04	1.58E-03
murD	6.33E-03	4.06E-03
pspE	2.21E-03	5.36E-03
yqjI	3.28E-03	2.66E-03
ygiB	4.94E-03	7.84E-03
yjjV	1.02E-03	3.13E-04
recR	2.77E-03	2.19E-03
rimL	2.55E-03	3.65E-03
ubiF	2.21E-03	3.04E-03
ftsX	2.15E-03	3.87E-03
rffA	5.46E-03	3.05E-03
ybiX	6.07E-04	2.65E-04
era	2.55E-03	1.94E-03
pldA	1.17E-03	8.87E-04
cobT	5.11E-03	3.82E-03
nadR	1.23E-03	1.83E-03
secE	3.44E-03	5.01E-03
dnaE	7.14E-04	1.36E-03
waaA	2.41E-03	4.56E-03
yffS	2.28E-03	1.96E-03
ubiX	2.14E-03	1.42E-03
mlaF	3.31E-03	1.98E-03
ybbP	1.57E-03	2.24E-03
plsC	1.95E-03	3.86E-03
dnaX	1.19E-03	1.37E-03
nuoH	7.98E-03	1.68E-02
yqgF	1.77E-03	1.76E-03
ade	5.22E-04	1.95E-03
rlmH	1.62E-03	6.82E-04
ynjE	1.34E-03	2.57E-03
dnaG	6.91E-04	1.74E-03
pdxY	4.42E-03	2.26E-03
dcm	1.80E-03	1.48E-03
hexR	1.31E-03	4.00E-03
ratB	2.27E-03	1.49E-03
hypE	9.40E-04	5.51E-04
ampC	1.34E-03	6.93E-04
oppB	2.53E-03	4.79E-03
hycI	3.07E-04	3.39E-04
murB	3.47E-03	1.82E-03
sad	1.41E-03	1.27E-03
fliG	3.37E-04	1.04E-03
mltA	1.64E-03	9.41E-04
yicI	1.09E-04	7.46E-05
yncD	7.54E-04	5.06E-04
adhP	1.54E-03	1.64E-03
arnB	1.04E-03	7.92E-04
ydcI	7.36E-03	1.47E-02
hsdS	1.64E-03	1.60E-03
menC	9.89E-04	3.99E-04
uxuB	1.73E-03	2.92E-03
amiA	3.97E-03	3.32E-03
dgoR	1.81E-03	3.50E-03
yojI	2.49E-04	3.01E-04
psuG	3.87E-04	3.34E-03
rlmA	6.64E-04	2.41E-04
paaY	2.62E-04	4.19E-04
sgcQ	4.99E-05	1.74E-06
ybdL	4.01E-03	3.32E-03
ydjY	5.36E-05	1.18E-04
aceK	3.48E-04	2.51E-03
rep	8.90E-04	1.55E-03
yigP	1.50E-03	2.62E-03
yedV	5.90E-04	3.49E-04
kefC	2.51E-04	1.19E-03
tauA	2.94E-04	2.78E-04
ybgK	5.88E-04	9.14E-04
nirD	2.00E-04	1.44E-04
yegD	1.77E-03	6.07E-04
yjbB	2.99E-04	9.01E-04
hybC	5.63E-04	7.03E-04
ylaC	4.39E-03	1.79E-03
yebO	7.88E-03	1.54E-03
hycA	1.91E-03	3.07E-04
narJ	4.75E-05	9.17E-05
pyrE	8.70E-04	1.81E-04
cheW	1.61E-04	1.33E-03
epmB	3.41E-03	1.11E-03
tsr	7.78E-06	1.28E-03
hdeA	4.12E-02	1.57E-01
rraB	5.02E-02	6.34E-02
rpmH	1.30E-01	8.74E-02
bamE	5.56E-02	4.02E-02
yajC	9.89E-02	6.45E-02
ygdI	1.96E-02	1.53E-02
ybgS	7.21E-03	3.86E-03
gadA	2.19E-03	9.22E-04
yjcE	5.58E-03	4.52E-02
mioC	1.09E-01	6.43E-02
ygaM	1.02E-02	2.54E-02
sra	2.91E-02	3.63E-02
ytfP	2.30E-02	1.35E-02
yaiE	2.28E-02	2.08E-02
bhsA	2.27E-03	1.25E-03
yibT	8.50E-03	3.67E-03
mgsA	2.44E-02	3.64E-02
gcvH	1.48E-02	9.70E-03
aidB	3.00E-04	1.06E-03
metI	2.32E-02	2.06E-02
rcnB	9.18E-03	8.74E-03
rof	1.16E-02	7.31E-03
bolA	5.55E-03	4.00E-03
yegS	2.22E-03	3.53E-03
erpA	7.23E-02	4.39E-02
yoaE	4.36E-03	7.03E-03
yaeR	3.33E-03	3.13E-03
gnsA	1.38E-02	8.84E-03
yhbY	5.03E-03	6.42E-03
oppC	5.25E-03	6.70E-03
fldB	2.25E-02	6.40E-03
creA	6.96E-03	6.72E-03
sdhC	2.04E-02	6.16E-02
yohF	3.20E-03	1.53E-03
phnB	7.26E-04	6.28E-04
thiL	5.97E-03	3.49E-03
trxC	6.63E-03	4.08E-03
amiD	2.80E-03	2.09E-03
gsiC	4.06E-03	5.11E-03
yccF	7.22E-03	1.06E-02
anmK	3.53E-03	4.50E-03
yhfG	2.69E-04	1.22E-04
pnuC	2.68E-03	2.74E-03
fsaA	4.21E-03	2.44E-03
phnA	1.85E-03	2.48E-03
pspB	4.61E-03	2.02E-03
addB	2.84E-03	2.50E-03
tolR	4.43E-03	2.43E-03
ydiH	6.85E-03	2.58E-03
surE	7.17E-03	4.97E-03
yddE	6.81E-03	3.71E-03
hslR	4.44E-04	1.28E-03
betB	7.50E-03	5.35E-03
sbcC	1.38E-03	1.97E-03
tsaA	2.84E-03	2.55E-03
cysU	1.30E-02	2.00E-02
hiuH	9.72E-03	3.43E-03
queD	6.45E-03	2.91E-03
glnK	1.17E-03	7.50E-05
rnt	9.24E-03	3.31E-03
yhjD	1.58E-03	2.23E-03
rsxG	3.28E-03	3.23E-03
yieP	6.83E-03	3.28E-03
yedF	9.82E-03	5.51E-02
sufA	8.72E-03	5.37E-03
hflD	6.28E-03	6.47E-03
fepC	5.73E-04	4.65E-04
lolC	2.08E-03	2.22E-03
glpR	3.49E-03	2.80E-03
lnt	4.47E-03	3.55E-03
mraY	1.35E-03	2.26E-03
ymbA	2.89E-03	1.66E-03
hslJ	6.14E-04	2.31E-04
cyoC	6.73E-04	2.87E-03
manY	5.03E-03	3.15E-02
dmsD	5.78E-03	2.15E-03
qmcA	5.19E-04	2.13E-03
borD	4.37E-02	2.99E-02
fis	6.56E-02	2.97E-02
slyX	3.83E-03	2.36E-03
yfcN	2.59E-03	2.06E-03
idi	5.70E-04	9.46E-04
zntB	5.39E-04	1.27E-03
rsmD	1.78E-03	1.18E-03
tolA	4.76E-03	1.93E-03
mnaT	2.41E-03	1.21E-03
treB	1.25E-03	2.39E-03
yajD	2.28E-03	3.04E-03
ypeA	2.21E-03	1.72E-03
yciG	6.33E-04	4.64E-04
ycjX	2.68E-03	2.00E-03
yfdC	6.72E-04	1.76E-03
yedQ	7.01E-04	1.59E-03
nadD	1.63E-03	8.25E-04
mdtK	6.27E-04	1.35E-03
yrbA	7.81E-03	3.00E-03
nudJ	1.34E-03	4.31E-04
coaD	1.82E-03	1.21E-03
cyaY	4.01E-03	2.09E-03
yiaJ	4.68E-03	4.43E-03
yobA	4.00E-03	9.89E-04
pabB	3.02E-03	1.22E-03
yjjA	6.07E-03	4.12E-03
focA	1.34E-03	2.67E-03
yhhM	1.35E-03	1.11E-03
fadM	3.16E-04	1.98E-03
sapA	2.01E-03	2.15E-03
ydcH	1.11E-05	9.78E-05
plsX	3.26E-03	2.47E-03
glcD	2.99E-03	1.65E-03
proW	1.86E-03	5.21E-04
fetA	2.95E-03	2.01E-03
hisQ	4.27E-03	4.13E-03
holD	6.53E-04	3.28E-04
deoR	1.25E-03	2.15E-03
yafK	3.74E-03	1.81E-03
ycgB	4.71E-04	7.59E-04
bioH	3.22E-03	1.28E-03
entH	4.36E-04	4.34E-04
yahJ	1.84E-04	6.02E-04
ydjF	1.06E-03	1.09E-03
pspF	1.35E-03	9.51E-04
phoQ	1.11E-03	1.63E-03
rdoA	3.62E-03	1.22E-03
yhjK	3.71E-04	1.19E-03
eutC	6.28E-04	1.87E-03
zapE	2.29E-03	3.14E-03
bcsG	4.36E-03	9.51E-03
ynbE	9.42E-04	8.01E-04
ylbA	1.20E-03	3.09E-03
bioD	1.75E-04	2.18E-04
uidA	1.47E-04	9.84E-05
ompW	1.05E-03	4.95E-03
chaB	1.16E-03	1.06E-03
rnhA	6.90E-04	2.91E-04
baeS	7.91E-04	1.10E-03
cutA	2.41E-04	1.77E-03
rlmF	1.28E-03	1.48E-03
yfbR	2.21E-03	1.52E-03
ybbA	1.21E-03	6.62E-04
yceG	8.11E-04	7.64E-04
ybjS	1.01E-03	6.74E-04
rbsC	3.48E-04	2.46E-03
rssB	8.33E-04	6.11E-04
hemE	2.04E-03	5.71E-04
feoB	1.19E-03	2.38E-03
hemH	1.12E-03	4.13E-04
pqqL	1.42E-03	1.29E-03
alr	9.46E-04	9.12E-04
uvrC	7.52E-05	1.34E-04
dnaT	1.78E-03	9.68E-04
relB	2.68E-03	1.28E-03
rimI	1.23E-03	1.28E-03
yjhU	4.44E-04	1.38E-03
aas	8.45E-04	1.38E-03
dacB	7.18E-04	4.24E-04
rnpA	2.98E-03	2.94E-03
ebgR	1.42E-03	9.08E-04
rfaY	1.94E-04	2.80E-04
puuR	3.70E-03	5.11E-03
glcA	9.89E-05	1.47E-03
basR	5.57E-04	7.96E-04
xylH	4.34E-06	8.96E-07
lhgO	7.51E-04	1.22E-03
frlR	4.88E-04	6.35E-04
ttcA	4.59E-03	1.29E-03
ansB	2.88E-04	7.94E-05
yafC	4.43E-04	5.46E-04
kdpD	4.66E-04	7.40E-04
	1.20E-03	1.09E-03
ydiZ	2.24E-03	3.77E-03
srlR	5.71E-04	9.75E-04
yqjA	1.52E-03	1.01E-03
gcvA	3.13E-04	8.51E-04
appC	9.66E-05	3.90E-05
cysW	2.12E-03	2.93E-03
exuR	2.19E-03	2.46E-03
nagK	5.15E-04	2.81E-04
dsbB	1.20E-03	2.58E-03
metR	2.67E-03	2.45E-03
hycE	1.18E-04	7.10E-05
barA	4.22E-04	8.00E-04
csdA	8.77E-04	1.46E-04
wecF	3.33E-04	3.60E-04
ybjI	1.35E-03	1.34E-03
rpiB	9.20E-04	1.29E-03
cnu	6.42E-04	3.24E-04
ptrB	5.89E-05	2.27E-04
dgt	2.39E-04	3.04E-04
sdhD	6.26E-04	7.79E-04
maa	2.26E-03	1.94E-03
lsrA	5.57E-07	5.21E-07
astD	4.72E-04	7.39E-04
dnaQ	6.54E-04	3.89E-04
nrfA	6.67E-07	7.29E-06
rsfS	1.32E-03	4.28E-04
lsrG	7.25E-05	5.56E-05
eptB	9.04E-05	3.72E-04
flgH	1.87E-05	4.93E-04
xylR	9.04E-05	3.40E-05
cheY	6.50E-04	3.17E-03
cytR	5.56E-04	2.90E-04
fes	3.54E-04	4.56E-05
ydfZ	2.14E-04	1.63E-04
yeiU	7.58E-04	5.96E-04
yebG	5.26E-03	2.80E-03
rseP	5.41E-04	6.81E-04
uhpA	1.37E-03	1.01E-03
atoC	1.79E-04	1.07E-03
tdk	3.57E-03	1.80E-03
tnaB	7.58E-04	1.07E-03
iclR	3.24E-04	4.06E-04
srlE	1.31E-05	6.41E-07
fhuF	2.65E-05	1.50E-04
rph	2.20E-04	1.32E-03
rluF	8.65E-04	2.75E-04
ilvG	5.14E-03	2.25E-03
dedD	1.51E-03	1.13E-03
fliA	5.12E-05	2.88E-04
amiB	1.22E-03	4.33E-04
rsxC	1.36E-03	7.60E-04
eutM	2.24E-04	5.42E-04
rnhB	3.24E-03	6.57E-04
nikA	4.09E-04	1.32E-04
cheA	1.12E-04	2.08E-03
yddH	3.38E-04	3.78E-04
yqcA	4.22E-03	3.80E-03
fucR	3.30E-04	1.10E-03
ubiB	3.31E-04	7.20E-04
sdaA	2.88E-04	1.63E-04
yqcC	2.91E-03	1.20E-03
ftsL	1.33E-03	5.27E-04
pgaB	2.70E-04	1.35E-03
glcF	1.99E-05	1.20E-04
ycfS	1.16E-03	1.61E-04
yqjE	3.04E-04	3.79E-04
shiA	2.70E-03	1.17E-03
ybjX	1.70E-04	8.59E-05
yrdD	1.10E-04	1.22E-04
mglC	3.15E-05	2.08E-03
asr	1.46E-06	1.36E-06
malF	7.40E-05	2.72E-03
dgoA	6.85E-07	6.44E-07
fdoI	6.78E-06	1.18E-05
gltP	5.15E-04	2.13E-04
hyaA	6.37E-07	5.96E-07
galS	5.28E-07	5.01E-07
glpC	4.73E-07	4.48E-07
preT	7.95E-05	7.81E-05
rarA	4.30E-04	4.32E-04
ecnB	2.84E-01	3.42E-01
osmB	4.69E-02	2.19E-02
rpmJ	1.09E-03	2.49E-02
argR	1.83E-02	2.09E-02
ybeY	4.08E-04	3.13E-03
cgtA	8.33E-03	5.19E-03
yecS	5.42E-03	6.66E-03
yjfP	7.27E-03	5.16E-03
cdsA	2.30E-03	3.00E-03
atpE	3.91E-03	2.62E-03
yejL	4.10E-03	2.62E-03
ybdZ	1.45E-03	6.71E-04
ghxP	6.16E-03	9.37E-03
tusA	4.12E-03	4.30E-03
wbbJ	1.48E-03	3.77E-03
mpaA	3.90E-04	2.32E-03
yqiA	8.30E-04	1.37E-03
elaA	4.01E-03	2.88E-03
yhcO	6.27E-04	6.41E-04
mltB	2.19E-03	9.65E-04
sufE	1.23E-04	1.54E-04
yjgM	3.96E-03	2.04E-03
yciS	1.10E-03	3.53E-03
emtA	6.28E-03	2.74E-03
ycjF	1.26E-03	2.64E-03
rsmJ	1.55E-03	7.49E-04
ypdB	7.06E-04	5.46E-04
hicB	4.79E-03	1.81E-03
chaA	2.77E-03	2.33E-03
yecF	3.54E-03	2.05E-03
nuoK	4.12E-03	4.79E-03
ybgJ	5.19E-03	3.64E-03
mltC	2.42E-05	3.98E-04
yraR	3.07E-04	3.15E-04
rpmI	1.03E-03	1.22E-03
ybbO	1.92E-03	2.01E-03
djlA	5.13E-05	3.67E-03
potC	1.47E-03	3.48E-03
folB	4.12E-04	2.73E-03
nuoN	1.73E-03	9.42E-03
btuR	6.01E-03	4.29E-03
folM	1.70E-03	1.15E-03
racR	4.87E-03	1.64E-03
lptC	2.09E-03	2.21E-03
chpB	1.49E-03	1.45E-03
yciA	1.58E-03	9.44E-04
mdtF	3.10E-05	7.34E-05
yciH	1.92E-03	1.22E-03
gntK	5.15E-04	2.09E-04
ycgJ	4.85E-04	4.85E-04
cas1	9.48E-04	1.38E-03
ybhP	4.42E-04	2.58E-04
gadB	5.72E-04	6.29E-04
ychH	6.86E-06	8.01E-05
ycjW	1.76E-03	1.56E-03
glpE	2.57E-04	1.05E-04
mqsA	8.37E-04	4.84E-04
ybjQ	1.65E-03	2.18E-03
rfaH	1.70E-03	1.07E-03
yfhG	4.33E-04	2.01E-04
trmL	1.17E-03	7.36E-04
tamB	6.78E-04	9.10E-04
yeaR	4.20E-05	2.13E-05
rmlA	1.44E-03	1.02E-03
sixA	1.75E-03	8.36E-04
	1.63E-03	7.79E-04
matP	1.51E-03	1.09E-03
nhaB	9.83E-07	1.86E-03
yfcG	8.26E-04	1.05E-03
sbmA	3.39E-04	2.96E-04
ydaM	2.63E-04	2.03E-03
yaiL	2.90E-03	1.85E-03
ispB	4.79E-03	3.18E-03
rbn	3.97E-04	2.04E-04
grxA	2.28E-03	1.25E-03
phoB	3.23E-04	5.18E-04
dppC	2.65E-03	6.91E-03
acpS	1.08E-03	6.86E-04
yedY	1.23E-03	9.08E-04
mazG	9.00E-05	8.68E-05
ydhZ	9.70E-04	4.49E-04
ybiJ	1.07E-03	1.55E-04
apaG	2.99E-04	2.47E-04
tusC	4.65E-04	4.06E-04
bdcR	4.42E-03	1.97E-03
ypfH	2.10E-03	3.36E-04
rpiR	3.11E-03	1.42E-03
ynjB	1.20E-03	5.91E-04
yeaC	1.35E-03	1.11E-03
mobA	8.04E-04	5.80E-04
uxuR	3.82E-04	4.33E-04
yjbD	3.35E-03	1.51E-03
mnmC	8.16E-04	5.49E-04
yfiH	9.77E-04	3.32E-04
dicA	5.10E-04	4.15E-04
rseA	1.77E-03	1.51E-03
nudL	3.41E-04	3.79E-04
nfi	3.34E-04	3.32E-04
yaiI	1.38E-03	8.00E-04
lolE	1.32E-04	2.25E-04
dinI	1.67E-03	3.91E-04
thiB	1.11E-03	1.12E-03
yedK	7.24E-05	8.34E-05
cueR	1.23E-03	1.16E-03
greB	4.12E-05	1.71E-04
rsmF	3.72E-03	4.48E-03
treR	2.71E-04	4.11E-04
yeaJ	9.23E-05	1.56E-04
yrbL	4.69E-04	6.49E-04
cohE	2.15E-04	1.84E-04
yciC	4.50E-04	5.88E-04
yggU	7.92E-04	4.39E-04
yeeD	4.60E-02	8.43E-02
cbl	2.56E-03	4.88E-04
pheP	7.61E-03	1.06E-03
cvrA	1.99E-04	3.88E-04
lpxK	8.47E-04	4.69E-04
mobB	3.97E-04	2.32E-04
yidE	5.52E-05	3.53E-03
nuoM	9.34E-04	2.51E-03
ydfW	2.47E-03	6.52E-04
yifK	5.62E-04	8.05E-04
plsY	8.77E-06	3.97E-04
yhaM	5.15E-04	3.56E-04
cyaA	5.16E-04	1.17E-03
agaV	5.08E-04	1.24E-03
ftsB	5.30E-04	2.19E-04
ybgA	4.93E-07	4.61E-07
holB	9.21E-04	5.48E-04
lipB	8.70E-05	5.01E-05
yefM	1.25E-03	6.63E-04
pncA	1.32E-03	1.15E-03
ycaP	1.90E-04	8.20E-04
yfeA	1.46E-04	5.02E-04
hemD	5.45E-04	4.63E-04
ycgE	9.09E-05	1.41E-04
dtd	1.85E-04	1.25E-04
recC	2.25E-04	4.20E-04
menF	2.04E-04	2.07E-04
ygeR	1.01E-04	1.01E-04
cvpA	2.45E-04	5.28E-04
ulaR	1.42E-03	1.05E-03
yiiQ	4.20E-04	3.94E-04
priB	1.74E-04	1.90E-04
waaU	1.81E-04	5.39E-04
ygdR	5.80E-05	8.44E-04
recG	3.17E-04	8.44E-04
ygeA	1.79E-04	3.01E-03
ispA	5.95E-04	2.79E-04
ybiI	5.04E-05	4.95E-05
gudD	7.49E-05	1.03E-04
ybgL	2.12E-05	4.96E-04
ygbT	1.17E-04	9.72E-05
rlmG	4.64E-06	4.76E-04
yfgJ	8.59E-05	1.23E-03
xerD	5.71E-04	2.58E-04
pmrD	5.93E-05	1.78E-05
rmf	1.26E-03	1.01E-03
fdhD	7.42E-05	4.98E-05
yfeY	1.95E-03	9.13E-04
tatE	5.19E-04	1.80E-04
ytfR	3.09E-05	1.77E-04
yeeE	2.21E-04	5.79E-04
yaiW	4.49E-05	2.90E-05
rcsC	2.61E-04	3.70E-04
mhpE	7.81E-04	3.62E-04
yraQ	6.25E-04	7.20E-04
yqeG	1.09E-06	1.03E-06
garL	1.50E-04	5.91E-04
xylE	7.63E-05	4.10E-05
yjjG	2.75E-03	1.31E-03
yhdP	1.68E-04	6.33E-04
paaJ	1.23E-03	5.77E-04
ypeB	5.58E-04	3.81E-04
ydeH	5.56E-05	3.53E-05
amtB	3.92E-03	5.55E-05
ytfL	9.84E-04	3.78E-03
ybhK	2.17E-04	1.99E-04
nikC	2.69E-04	8.34E-05
arsC	5.36E-05	2.94E-04
yoaC	1.34E-04	1.80E-04
cyoD	2.71E-03	1.22E-03
nei	5.55E-07	2.22E-06
ynaI	1.51E-04	5.52E-04
mutY	2.03E-04	1.20E-04
hybD	4.28E-04	1.18E-04
ynfD	2.22E-05	3.59E-05
rlmD	1.36E-04	1.06E-04
yfeC	2.44E-04	3.73E-04
mrdA	8.78E-04	1.34E-03
rstB	4.73E-04	2.94E-04
ygeV	6.55E-07	4.08E-04
xerC	8.71E-04	8.32E-04
trg	1.88E-05	1.22E-04
sbcB	1.82E-05	2.65E-05
ydbL	1.70E-04	1.76E-04
paaC	2.87E-05	6.88E-05
rmuC	4.83E-05	2.57E-04
ychJ	2.02E-04	8.62E-05
yddM	1.20E-03	8.66E-04
fliF	4.82E-05	1.48E-04
paaB	4.47E-07	4.22E-07
fimC	2.19E-05	1.19E-05
yacG	1.14E-03	6.49E-04
yggW	1.03E-04	2.38E-05
yfiB	1.16E-04	8.42E-05
ybaQ	8.78E-04	6.94E-04
mutM	1.36E-04	2.03E-05
rfaL	6.44E-04	1.16E-03
rspA	7.24E-05	2.57E-05
lgt	3.91E-04	1.00E-03
dusB	1.29E-03	5.39E-04
dcuR	3.80E-05	1.76E-04
rnd	1.47E-04	2.17E-04
ahr	6.19E-05	1.55E-04
yehT	7.89E-05	4.29E-04
yecE	2.06E-05	1.31E-05
acrR	8.57E-04	5.60E-04
arnA	7.93E-04	4.68E-04
yfdH	2.01E-04	2.23E-04
fliJ	4.42E-04	3.87E-04
flgM	2.69E-04	9.70E-04
ampE	2.19E-04	2.54E-04
creB	3.27E-04	2.58E-04
zraP	5.23E-05	5.82E-07
holC	1.23E-04	4.46E-05
mdtB	8.19E-07	2.09E-04
malZ	1.04E-04	6.68E-05
comR	7.26E-05	1.38E-04
uhpT	6.56E-05	2.38E-05
ygdG	1.19E-04	8.79E-05
yhaJ	2.83E-04	2.19E-04
ybdD	9.85E-06	4.40E-07
sbcD	7.91E-04	4.07E-04
yigA	4.40E-04	4.18E-04
uxaB	2.12E-04	3.37E-04
pbpG	4.75E-07	4.49E-07
rtn	7.28E-05	5.68E-04
wecA	8.36E-05	6.44E-04
narI	9.29E-07	8.53E-07
fxsA	1.49E-05	9.05E-04
nuoL	2.05E-04	1.03E-03
dtpA	8.97E-07	8.37E-07
dppB	9.33E-04	3.39E-03
yheU	7.87E-07	7.32E-07
ybjL	7.77E-07	5.46E-05
yehU	7.46E-07	5.52E-04
paaK	6.69E-07	6.29E-07
acrD	1.70E-04	3.54E-05
syd	2.64E-03	1.77E-03
ybjN	3.26E-03	8.25E-04
nadK	1.05E-03	3.03E-04
ynfF	6.13E-07	5.83E-07
gatR	4.00E-05	8.52E-05
wzc	5.94E-07	5.61E-07
yjiM	8.83E-06	2.89E-06
intF	5.64E-07	4.11E-04
yhhK	1.93E-04	1.87E-04
yciB	1.30E-04	1.00E-04
amiC	5.51E-07	7.31E-06
mepA	3.43E-04	1.04E-04
glcE	5.44E-07	5.17E-07
paaE	5.40E-07	4.98E-07
narH	5.36E-07	5.01E-07
yicS	5.21E-07	4.89E-07
ykgE	5.15E-07	4.88E-07
zinT	1.10E-03	4.66E-07
yliI	8.71E-05	4.73E-05
ybjD	1.90E-05	4.95E-05
dusC	4.95E-07	6.00E-07
tilS	6.34E-05	5.99E-04
clpB	3.10E-05	3.41E-05
feoA	4.76E-07	4.45E-07
ybjT	1.74E-04	2.35E-04
ydiE	7.06E-06	1.14E-05
hemA	4.64E-04	7.55E-05
topB	4.41E-05	8.22E-05
soxR	2.27E-05	4.08E-05
yaeQ	6.69E-05	2.41E-05
nth	4.18E-04	1.59E-04
priC	5.44E-04	2.71E-04
ykgG	1.03E-04	6.87E-06
